ID,Food name,無単位,枚,本,個片丁株玉房,杯/カップ,半分,摘み/少々,小/小匙,中,大/大匙,一掴,袋,箱,缶/カン,CC,cm,束,合,適量、お好み,g
1199,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1190,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1145,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1193,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1201,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1194,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1191,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1200,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1192,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1203,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1195,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1204,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1196,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,70,12,0.54,70,110,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1173,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,220,20,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1065,こむぎ　［ふ類］　生ふ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1066,こむぎ　［ふ類］　焼きふ　釜焼きふ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,1
1067,こむぎ　［ふ類］　焼きふ　板ふ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1068,こむぎ　［ふ類］　焼きふ　車ふ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,1
1177,こむぎ　［ふ類］　油ふ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1070,こむぎ　［その他］　小麦はいが,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1071,こむぎ　［その他］　小麦たんぱく　粉末状,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1072,こむぎ　［その他］　小麦たんぱく　粒状,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1073,こむぎ　［その他］　小麦たんぱく　ペースト状,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1178,こむぎ　［その他］　かやきせんべい,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1074,こむぎ　［その他］　ぎょうざの皮　生,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,1
1075,こむぎ　［その他］　しゅうまいの皮　生,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,1
1179,こむぎ　［その他］　春巻きの皮　生,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,1
1180,こむぎ　［その他］　春巻きの皮　揚げ,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1076,こむぎ　［その他］　ピザ生地,-1,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1069,こむぎ　［その他］　ちくわぶ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1077,こむぎ　［その他］　パン粉　生,-1,-1,-1,-1,40,-1,15,1,2,3,40,200,-1,-1,1,-1,-1,-1,-1,1
1078,こむぎ　［その他］　パン粉　半生,-1,-1,-1,-1,40,-1,-1,1,2,3,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1079,こむぎ　［その他］　パン粉　乾燥,-1,-1,-1,-1,40,-1,-1,1,2,3,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1150,こむぎ　［その他］　冷めん　生,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1080,こめ　［水稲穀粒］　玄米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1081,こめ　［水稲穀粒］　半つき米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1082,こめ　［水稲穀粒］　七分つき米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1083,こめ　［水稲穀粒］　精白米　うるち米,-1,-1,-1,-1,160,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,150,-1,1
1151,こめ　［水稲穀粒］　精白米　もち米,-1,-1,-1,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,1
1152,こめ　［水稲穀粒］　精白米　インディカ米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1084,こめ　［水稲穀粒］　はいが精米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1153,こめ　［水稲穀粒］　発芽玄米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1181,こめ　［水稲穀粒］　赤米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1182,こめ　［水稲穀粒］　黒米,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1085,こめ　［水稲めし］　玄米,-1,-1,-1,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,1
1086,こめ　［水稲めし］　半つき米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1087,こめ　［水稲めし］　七分つき米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1168,こめ　［水稲めし］　精白米　インディカ米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1088,こめ　［水稲めし］　精白米　うるち米,-1,-1,-1,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,1
1154,こめ　［水稲めし］　精白米　もち米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1089,こめ　［水稲めし］　はいが精米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1155,こめ　［水稲めし］　発芽玄米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1183,こめ　［水稲めし］　赤米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1184,こめ　［水稲めし］　黒米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
